,year,quarter,title,studio,castcrew,link_en
0,1990,Q1,Downtown,20th Century Fox,"Richard Benjamin (director); Nat Mauldin (screenplay); Anthony Edwards, Forest Whitaker, Penelope Ann Miller, Joe Pantoliano, David Clennon, Art Evans, Rick Aiello, Roger Aaron Brown, Ron Canada, Wanda De Jesus, Francis X. McCarthy, Kimberly Scott, Danuel Pipoly, Vinnie Curto",/wiki/Downtown_(film)
1,1990,Q1,Internal Affairs,Paramount Pictures,"Mike Figgis (director); Henry Bean (screenplay); Richard Gere, Andy García, Nancy Travis, Laurie Metcalf, Richard Bradford, William Baldwin, Elijah Wood, Annabella Sciorra, Michael Beach, Katherine Borowitz, Faye Grant, Xander Berkeley, John Kapelos",/wiki/Internal_Affairs_(film)
2,1990,Q1,Leatherface: The Texas Chainsaw Massacre III,New Line Cinema,"Jeff Burr (director); David J. Schow (screenplay); Kate Hodge, William Butler, Ken Foree, Toni Hudson, Viggo Mortensen, Joe Unger, R. A. Mihailoff, Tom Everett, Jennifer Banko, Beth DePatie, Duane Whitaker, Miriam Byrd-Nethery, Caroline Williams",/wiki/Leatherface:_The_Texas_Chainsaw_Massacre_III
3,1990,Q1,The Plot Against Harry,New Yorker Films,"Michael Roemer (director/screenplay); Martin Priest, Ben Lang, Maxine Woods, Henry Nemo, Jacques Taylor, Jean Leslie, Ellen Herbert, Sandra Kazan, Ronald Coralian, Max Ulman",/wiki/The_Plot_Against_Harry
4,1990,Q1,Ski Patrol,Epic Productions,"Richard Correll (director); Steven Long Mitchell, Craig W. Van Sickle, Wink Roberts (screenplay); Roger Rose, Yvette Nipar, T. K. Carter, Leslie Jordan, Paul Feig, Sean Gregory Sullivan, Tess Foltyn, George Lopez, Corbin Timbrook, Steve Hytner, Ray Walston, Martin Mull, Dante Hen, Deborah Rose",/wiki/Ski_Patrol_(1990_film)
5,1990,Q1,Brain Dead,Concorde,"Adam Simon (director); Charles Beaumont, Adam Simon (screenplay); Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor, Patricia Charbonneau, George Kennedy, Brian Brophy, David Sinaiko, Andy Wood, Maud Winchester, Brent Hinkley",/wiki/Brain_Dead_(1990_film)
6,1990,Q1,Everybody Wins,Orion Pictures,"Karel Reisz (director); Arthur Miller (screenplay); Debra Winger, Nick Nolte, Will Patton, Jack Warden, Judith Ivey, Kathleen Wilhoite, Frank Converse, James Parisi",/wiki/Everybody_Wins_(film)
7,1990,Q1,Tremors,Universal Pictures,"Ron Underwood (director); Brent Maddock, S. S. Wilson (screenplay); Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Victor Wong, Bobby Jacoby, Ariana Richards, Reba McEntire, Charlotte Stewart, Tony Genaro, Richard Marcus, Bibi Besch, Conrad Bachmann, Sunshine Parker, Michael Dan Wagner, John Goodwin, John Pappas",/wiki/Tremors_(film)
8,1990,Q1,The Image,HBO Pictures / Citadel Entertainment,"Peter Werner (director); Brian Rehak (screenplay); Albert Finney, John Mahoney, Kathy Baker, Swoosie Kurtz, Marsha Mason, Spalding Gray, Wendie Jo Sperber, David Clennon, Brett Cullen, Jim Haynie, Robert Schenkkan, Nicholas Cascone, Beth Grant, Banks Harper, Brad Pitt, Robert Aaron, Adilah Barnes, Earnestine Dean, Dennis Haskins, Peter Linari, Anthony Lucero, Frank Vlastnik",/wiki/The_Image_(1990_film)
9,1990,Q1,Flashback,Paramount Pictures,"Franco Amurri (director); David Loughery (screenplay); Dennis Hopper, Kiefer Sutherland, Carol Kane, Paul Dooley, Cliff DeYoung, Richard Masur, Michael McKean",/wiki/Flashback_(1990_film)
10,1990,Q1,Heart Condition,New Line Cinema,"James D. Parriott (director/screenplay); Bob Hoskins, Denzel Washington, Chloe Webb, Lisa Stahl Sullivan, Roger E. Mosley, Ja'net Dubois, Alan Rachins, Ray Baker, Jeffrey Meek, Eva LaRue, Clayton Landey",/wiki/Heart_Condition_(film)
11,1990,Q1,Men Don't Leave,Warner Bros. Pictures,"Paul Brickman (director/screenplay); Barbara Benedek (screenplay); Jessica Lange, Arliss Howard, Joan Cusack, Chris O'Donnell, Kathy Bates, Charlie Korsmo, Belita Moreno",/wiki/Men_Don%27t_Leave
12,1990,Q1,Stella,Touchstone Pictures / The Samuel Goldwyn Company,"John Erman (director); Robert Getchell (screenplay); Bette Midler, John Goodman, Trini Alvarado, Stephen Collins, Marsha Mason, Eileen Brennan, Linda Hart, Ben Stiller, William McNamara, Ashley Peldon, Alisan Porter",/wiki/Stella_(1990_film)
13,1990,Q1,Hard to Kill,Warner Bros. Pictures,"Bruce Malmuth (director); Steven McKay (screenplay); Steven Seagal, Kelly LeBrock, Frederick Coffin, William Sadler, Zachary Rosencrantz, Andrew Bloch, Branscombe Richmond, Charles Boswell, James DiStefano, Dean Norris, Bonnie Burroughs, Lou Beatty Jr., Nick DeMauro, Nick Corello, Justin De Rosa, Stanley Brock, Larry Cedar, Evan James, Tomas Trujillo, Geoffrey Ian Bara, Robert LaSardo, Ernie Lively",/wiki/Hard_to_Kill
14,1990,Q1,Loose Cannons,TriStar Pictures,"Bob Clark (director/screenplay); Richard Christian Matheson, Richard Matheson (screenplay); Gene Hackman, Dan Aykroyd, Dom DeLuise, Ronny Cox, Nancy Travis, Paul Koslo, Dick O'Neill, Robert Prosky, Jan Triska, Leon Rippy, Robert Elliott, David Alan Grier, S. Epatha Merkerson, Reg E. Cathey, Herb Armstrong, Robert Dickman, Brad Greenquist",/wiki/Loose_Cannons_(1990_film)
15,1990,Q1,Stanley & Iris,Metro-Goldwyn-Mayer,"Martin Ritt (director); Harriet Frank Jr., Irving Ravetch (screenplay); Jane Fonda, Robert De Niro, Swoosie Kurtz, Martha Plimpton, Harley Cross, Jamey Sheridan, Feodor Chaliapin Jr., Zohra Lampert, Loretta Devine, Kathy Kinney, Stephen Root",/wiki/Stanley_%26_Iris
16,1990,Q1,Courage Mountain,Triumph Films,"Christopher Leitch (director); Fred Brogger, Mark Brogger, Weaver Webb (screenplay); Charlie Sheen, Leslie Caron, Yorgo Voyagis, Laura Betti, Jan Rubeš, Juliette Caton, Joanna Clarke, Nicola Stapleton, Jade Magri, Kathryn Ludlow",/wiki/Courage_Mountain
17,1990,Q1,Madhouse,Orion Pictures,"Tom Ropelewski (director/screenplay); John Larroquette, Kirstie Alley, Alison LaPlaca, John Diehl, Jessica Lundy, Bradley Gregg, Dennis Miller, Robert Ginty, Wayne Tippit, Paul Eiding, Aeryk Egan, Deborah Otto",/wiki/Madhouse_(1990_film)
18,1990,Q1,Mountains of the Moon,TriStar Pictures / Carolco Pictures,"Bob Rafelson (director/screenplay); William Harrison (screenplay); Patrick Bergin, Iain Glen, Richard E. Grant, Fiona Shaw, John Savident, James Villiers, Adrian Rawlins, Peter Vaughan, Delroy Lindo, Bernard Hill, Matthew Marsh, Richard Caldicot, Christopher Fulford, Garry Cooper, Roshan Seth, Omar Sharif, Paul Onsongo, Bheki Tonto Ngema, Martin Okello",/wiki/Mountains_of_the_Moon_(film)
19,1990,Q1,Nightbreed,20th Century Fox / Morgan Creek Productions,"Clive Barker (director/screenplay); Craig Sheffer, Anne Bobby, David Cronenberg, Charles Haid, Hugh Quarshie, Hugh Ross, Doug Bradley, Catherine Chevalier, Bob Sessions, Malcolm Smith, Oliver Parker, Debora Weston, Nicholas Vince, Simon Bamford, Kim Robertson, Nina Robertson, Christine McCorkindale, Tony Bluto, Bernard Henry",/wiki/Nightbreed
20,1990,Q1,Revenge,Columbia Pictures / Rastar,"Tony Scott (director); Jeffrey Alan Fiskin (screenplay); Kevin Costner, Anthony Quinn, Madeleine Stowe, Sally Kirkland, Miguel Ferrer, Tomas Milian, James Gammon, Joaquín Martínez, Jesse Corti, John Leguizamo, Joe Santos, Christofer de Oni, Karmin Murcelo",/wiki/Revenge_(1990_film)
21,1990,Q1,Where the Heart Is,Touchstone Pictures,"John Boorman (director/screenplay); Telsche Boorman (screenplay); Dabney Coleman, Uma Thurman, Joanna Cassidy, Crispin Glover, Suzy Amis, Christopher Plummer, David Hewlett, Maury Chaykin, Dylan Walsh, Sheila Kelley, Ken Pogue",/wiki/Where_the_Heart_Is_(1990_film)
22,1990,Q1,The Hunt for Red October,Paramount Pictures,"John McTiernan (director); Larry Ferguson, Donald E. Stewart (screenplay); Sean Connery, Alec Baldwin, Scott Glenn, James Earl Jones, Sam Neill, Jeffrey Jones, Joss Ackland, Richard Jordan, Tim Curry, Boris Lee Krutonog, Peter Firth, Ronald Guttman, Stellan Skarsgård, Fred Dalton Thompson, Courtney B. Vance, Michael Welden, Anthony Peck, Daniel Davis, Tomas Arana, Peter Zinner",/wiki/The_Hunt_for_Red_October_(film)
23,1990,Q1,Bad Influence,Triumph Films,"Curtis Hanson (director); David Koepp (screenplay); Rob Lowe, James Spader, Lisa Zane, Christian Clemenson, Marcia Cross, Kathleen Wilhoite, Grand L. Bush, David Duchovny, Perri Lister, John de Lancie, Lilyan Chauvin, Rosalyn Landor, Tony Maggio, Susan Lee Hoffman, Jeff Kaake",/wiki/Bad_Influence_(film)
24,1990,Q1,Coupe de Ville,Universal Pictures / Morgan Creek Productions,"Joe Roth (director); Mike Binder (screenplay); Patrick Dempsey, Arye Gross, Daniel Stern, Alan Arkin, Rita Taggart, Annabeth Gish, Joseph Bologna, James Gammon, Ray Lykins, Chris Lombardi, Josh Segal",/wiki/Coupe_de_Ville_(film)
25,1990,Q1,The Handmaid's Tale,Metro-Goldwyn-Mayer,"Volker Schlöndorff (director); Harold Pinter (screenplay); Natasha Richardson, Faye Dunaway, Robert Duvall, Aidan Quinn, Elizabeth McGovern, Victoria Tennant, Blanche Baker, Traci Lind, Reiner Schöne, Robert D. Raiford, Muse Watson, Bill Owen, David Dukes, Blair Nicole Struble",/wiki/The_Handmaid%27s_Tale_(film)
26,1990,Q1,House Party,New Line Cinema,"Reginald Hudlin (director/screenplay); Christopher ""Kid"" Reid, Robin Harris, Christopher ""Play"" Martin, Martin Lawrence, Full Force, Tisha Campbell, A.J. Johnson, Groove B. Chill, Lou B. Washington, Kelly Jo Minter, John Witherspoon, Bebe Drake, Clifton Powell, Desi Arnez Hines II, George Clinton, Barry Diamond, Michael Pniewski, Norma Donaldson, Shaun Baker, Anthony Johnson, Cliff Frazier, Jaime Cardriche, Reginald Hudlin, Warrington Hudlin",/wiki/House_Party_(film)
27,1990,Q1,Joe Versus the Volcano,Warner Bros. Pictures / Amblin Entertainment,"John Patrick Shanley (director/screenplay); Tom Hanks, Meg Ryan, Lloyd Bridges, Robert Stack, Abe Vigoda, Dan Hedaya, Barry McGovern, Ossie Davis, Amanda Plummer, Nathan Lane, Lisa LeBlanc",/wiki/Joe_Versus_the_Volcano
28,1990,Q1,Last of the Finest,Orion Pictures,"John Mackenzie (director); Thomas Lee Wright, George Armitage (screenplay); Brian Dennehy, Joe Pantoliano, Jeff Fahey, Bill Paxton, Deborra-Lee Furness, Guy Boyd, Henry Darrow, Michael C. Gwynne, Burke Byrnes, Xander Berkeley, John Finnegan, J. Kenneth Campbell",/wiki/Last_of_the_Finest
29,1990,Q1,Love at Large,Orion Pictures,"Alan Rudolph (director/screenplay); Tom Berenger, Elizabeth Perkins, Anne Archer, Kate Capshaw, Annette O'Toole, Ted Levine, Ann Magnuson, Kevin J. O'Connor, Ruby Dee, Barry Miller, Neil Young, Meegan Lee Ochs, Gailard Sartain, Robert Gould, Dirk Blocker",/wiki/Love_at_Large
