Unnamed: 0,year,quarter,title,studio,castcrew,link_en,dates_raw,date_us,date_jp,delay
0,1990,Q1,Downtown,20th Century Fox,"Richard Benjamin (director); Nat Mauldin (screenplay); Anthony Edwards, Forest Whitaker, Penelope Ann Miller, Joe Pantoliano, David Clennon, Art Evans, Rick Aiello, Roger Aaron Brown, Ron Canada, Wanda De Jesus, Francis X. McCarthy, Kimberly Scott, Danuel Pipoly, Vinnie Curto",Downtown_(film),{{flagicon|USA}} {{flagicon|CAN}} 1990年1月12日<br /> {{flagicon|JPN}} 劇場未公開,1990-01-12,,
1,1990,Q1,Internal Affairs,Paramount Pictures,"Mike Figgis (director); Henry Bean (screenplay); Richard Gere, Andy García, Nancy Travis, Laurie Metcalf, Richard Bradford, William Baldwin, Elijah Wood, Annabella Sciorra, Michael Beach, Katherine Borowitz, Faye Grant, Xander Berkeley, John Kapelos",Internal_Affairs_(film),{{flagicon|USA}} 1990年1月12日<br /> {{flagicon|JPN}} 1990年6月29日,1990-01-12,1990-06-29,168.0
2,1990,Q1,Leatherface: The Texas Chainsaw Massacre III,New Line Cinema,"Jeff Burr (director); David J. Schow (screenplay); Kate Hodge, William Butler, Ken Foree, Toni Hudson, Viggo Mortensen, Joe Unger, R. A. Mihailoff, Tom Everett, Jennifer Banko, Beth DePatie, Duane Whitaker, Miriam Byrd-Nethery, Caroline Williams",Leatherface:_The_Texas_Chainsaw_Massacre_III,{{flagicon|USA}} 1990年1月12日<br /> {{flagicon|JPN}} 1991年10月12日,1990-01-12,1991-10-12,638.0
3,1990,Q1,The Plot Against Harry,New Yorker Films,"Michael Roemer (director/screenplay); Martin Priest, Ben Lang, Maxine Woods, Henry Nemo, Jacques Taylor, Jean Leslie, Ellen Herbert, Sandra Kazan, Ronald Coralian, Max Ulman",The_Plot_Against_Harry,no_ja,,,
4,1990,Q1,Ski Patrol,Epic Productions,"Richard Correll (director); Steven Long Mitchell, Craig W. Van Sickle, Wink Roberts (screenplay); Roger Rose, Yvette Nipar, T. K. Carter, Leslie Jordan, Paul Feig, Sean Gregory Sullivan, Tess Foltyn, George Lopez, Corbin Timbrook, Steve Hytner, Ray Walston, Martin Mull, Dante Hen, Deborah Rose",Ski_Patrol_(1990_film),no_ja,,,
5,1990,Q1,Brain Dead,Concorde,"Adam Simon (director); Charles Beaumont, Adam Simon (screenplay); Bill Pullman, Bill Paxton, Bud Cort, Nicholas Pryor, Patricia Charbonneau, George Kennedy, Brian Brophy, David Sinaiko, Andy Wood, Maud Winchester, Brent Hinkley",Brain_Dead_(1990_film),no_ja,,,
6,1990,Q1,Everybody Wins,Orion Pictures,"Karel Reisz (director); Arthur Miller (screenplay); Debra Winger, Nick Nolte, Will Patton, Jack Warden, Judith Ivey, Kathleen Wilhoite, Frank Converse, James Parisi",Everybody_Wins_(film),no_ja,,,
7,1990,Q1,Tremors,Universal Pictures,"Ron Underwood (director); Brent Maddock, S. S. Wilson (screenplay); Kevin Bacon, Fred Ward, Finn Carter, Michael Gross, Victor Wong, Bobby Jacoby, Ariana Richards, Reba McEntire, Charlotte Stewart, Tony Genaro, Richard Marcus, Bibi Besch, Conrad Bachmann, Sunshine Parker, Michael Dan Wagner, John Goodwin, John Pappas",Tremors_(film),{{flagicon|USA}} 1990年1月19日<br /> {{flagicon|JPN}} 1990年6月15日,1990-01-19,1990-06-15,147.0
8,1990,Q1,The Image,HBO Pictures / Citadel Entertainment,"Peter Werner (director); Brian Rehak (screenplay); Albert Finney, John Mahoney, Kathy Baker, Swoosie Kurtz, Marsha Mason, Spalding Gray, Wendie Jo Sperber, David Clennon, Brett Cullen, Jim Haynie, Robert Schenkkan, Nicholas Cascone, Beth Grant, Banks Harper, Brad Pitt, Robert Aaron, Adilah Barnes, Earnestine Dean, Dennis Haskins, Peter Linari, Anthony Lucero, Frank Vlastnik",The_Image_(1990_film),no_ja,,,
9,1990,Q1,Flashback,Paramount Pictures,"Franco Amurri (director); David Loughery (screenplay); Dennis Hopper, Kiefer Sutherland, Carol Kane, Paul Dooley, Cliff DeYoung, Richard Masur, Michael McKean",Flashback_(1990_film),no_ja,,,
10,1990,Q1,Heart Condition,New Line Cinema,"James D. Parriott (director/screenplay); Bob Hoskins, Denzel Washington, Chloe Webb, Lisa Stahl Sullivan, Roger E. Mosley, Ja'net Dubois, Alan Rachins, Ray Baker, Jeffrey Meek, Eva LaRue, Clayton Landey",Heart_Condition_(film),no_ja,,,
11,1990,Q1,Men Don't Leave,Warner Bros. Pictures,"Paul Brickman (director/screenplay); Barbara Benedek (screenplay); Jessica Lange, Arliss Howard, Joan Cusack, Chris O'Donnell, Kathy Bates, Charlie Korsmo, Belita Moreno",Men_Don%27t_Leave,no_ja,,,
12,1990,Q1,Stella,Touchstone Pictures / The Samuel Goldwyn Company,"John Erman (director); Robert Getchell (screenplay); Bette Midler, John Goodman, Trini Alvarado, Stephen Collins, Marsha Mason, Eileen Brennan, Linda Hart, Ben Stiller, William McNamara, Ashley Peldon, Alisan Porter",Stella_(1990_film),{{flagicon|USA}} 1990年2月2日<br /> {{flagicon|JPN}} 1990年10月6日,1990-02-02,1990-10-06,246.0
13,1990,Q1,Hard to Kill,Warner Bros. Pictures,"Bruce Malmuth (director); Steven McKay (screenplay); Steven Seagal, Kelly LeBrock, Frederick Coffin, William Sadler, Zachary Rosencrantz, Andrew Bloch, Branscombe Richmond, Charles Boswell, James DiStefano, Dean Norris, Bonnie Burroughs, Lou Beatty Jr., Nick DeMauro, Nick Corello, Justin De Rosa, Stanley Brock, Larry Cedar, Evan James, Tomas Trujillo, Geoffrey Ian Bara, Robert LaSardo, Ernie Lively",Hard_to_Kill,{{flagicon|USA}} 1990年2月9日<br /> {{flagicon|JPN}} 1990年11月17日,1990-02-09,1990-11-17,281.0
14,1990,Q1,Loose Cannons,TriStar Pictures,"Bob Clark (director/screenplay); Richard Christian Matheson, Richard Matheson (screenplay); Gene Hackman, Dan Aykroyd, Dom DeLuise, Ronny Cox, Nancy Travis, Paul Koslo, Dick O'Neill, Robert Prosky, Jan Triska, Leon Rippy, Robert Elliott, David Alan Grier, S. Epatha Merkerson, Reg E. Cathey, Herb Armstrong, Robert Dickman, Brad Greenquist",Loose_Cannons_(1990_film),{{flagicon|USA}} 1990年2月9日<br /> {{flagicon|JPN}} 1990年9月15日,1990-02-09,1990-09-15,218.0
15,1990,Q1,Stanley & Iris,Metro-Goldwyn-Mayer,"Martin Ritt (director); Harriet Frank Jr., Irving Ravetch (screenplay); Jane Fonda, Robert De Niro, Swoosie Kurtz, Martha Plimpton, Harley Cross, Jamey Sheridan, Feodor Chaliapin Jr., Zohra Lampert, Loretta Devine, Kathy Kinney, Stephen Root",Stanley_%26_Iris,no_ja,,,
16,1990,Q1,Courage Mountain,Triumph Films,"Christopher Leitch (director); Fred Brogger, Mark Brogger, Weaver Webb (screenplay); Charlie Sheen, Leslie Caron, Yorgo Voyagis, Laura Betti, Jan Rubeš, Juliette Caton, Joanna Clarke, Nicola Stapleton, Jade Magri, Kathryn Ludlow",Courage_Mountain,no_ja,,,
